datetime,date,source_file,cycle,time_range,irradiance_poa_wm2,p_431_mw,p_meter_431_mw
2025-04-09 15:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,32,15:30 - 16:00,308.0,10.0,
2025-04-09 16:00:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,33,16:00 - 16:30,206.2,7.6,
2025-04-09 16:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,34,16:30 - 17:00,89.6,3.4,
2025-04-09 17:00:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,35,17:00 - 17:30,64.7,2.4,
2025-04-09 17:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,36,17:30 - 18:00,0.0,0.0,
2025-04-09 18:00:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,37,18:00 - 18:30,0.0,0.0,
2025-04-09 18:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,38,18:30 - 19:00,0.0,0.0,
2025-04-09 19:00:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,39,19:00 - 19:30,0.0,0.0,
2025-04-09 19:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,40,19:30 - 20:00,0.0,0.0,
2025-04-09 20:00:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,41,20:00 - 20:30,0.0,0.0,
2025-04-09 20:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,42,20:30 - 21:00,0.0,0.0,
2025-04-09 21:00:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,43,21:00 - 21:30,0.0,0.0,
2025-04-09 21:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,44,21:30 - 22:00,0.0,0.0,
2025-04-09 22:00:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,45,22:00 - 22:30,0.0,0.0,
2025-04-09 22:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,46,22:30 - 23:00,0.0,0.0,
2025-04-09 23:00:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,47,23:00 - 23:30,0.0,0.0,
2025-04-09 23:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,48,23:30 - 00:00,0.0,0.0,
